Mass DM,SSHH,omega,SI 1,SI 2
412.0,0.06000000000000001,0.12300000000000001,1.308e-09,7.444e-10
414.0,0.06000000000000001,0.124,1.302e-09,7.373e-10
416.0,0.06000000000000001,0.125,1.295e-09,7.302e-10
418.0,0.06000000000000001,0.126,1.289e-09,7.233e-10
420.0,0.06000000000000001,0.128,1.283e-09,7.164e-10
422.0,0.06000000000000001,0.129,1.277e-09,7.096e-10
424.0,0.06000000000000001,0.13,1.271e-09,7.030e-10
426.0,0.06000000000000001,0.131,1.265e-09,6.964e-10
446.0,0.06999999999999999,0.10800000000000001,1.410e-09,8.650e-10
448.0,0.06999999999999999,0.109,1.403e-09,8.573e-10
450.0,0.06999999999999999,0.11,1.397e-09,8.497e-10
452.0,0.06999999999999999,0.111,1.391e-09,8.422e-10
454.0,0.06999999999999999,0.11199999999999999,1.385e-09,8.348e-10
456.0,0.06999999999999999,0.113,1.379e-09,8.275e-10
458.0,0.06999999999999999,0.114,1.373e-09,8.203e-10
460.0,0.06999999999999999,0.115,1.367e-09,8.132e-10
462.0,0.06999999999999999,0.11599999999999999,1.361e-09,8.062e-10
464.0,0.06999999999999999,0.11699999999999999,1.355e-09,7.993e-10
466.0,0.06999999999999999,0.11800000000000001,1.349e-09,7.924e-10
468.0,0.06999999999999999,0.11900000000000001,1.343e-09,7.857e-10
470.0,0.06999999999999999,0.12,1.338e-09,7.790e-10
472.0,0.06999999999999999,0.121,1.332e-09,7.725e-10
474.0,0.06999999999999999,0.122,1.326e-09,7.660e-10
476.0,0.06999999999999999,0.12300000000000001,1.321e-09,7.596e-10
478.0,0.06999999999999999,0.124,1.315e-09,7.532e-10
480.0,0.06999999999999999,0.125,1.310e-09,7.470e-10
482.0,0.06999999999999999,0.126,1.304e-09,7.408e-10
484.0,0.06999999999999999,0.127,1.299e-09,7.347e-10
486.0,0.06999999999999999,0.128,1.294e-09,7.287e-10
488.0,0.06999999999999999,0.129,1.288e-09,7.227e-10
490.0,0.06999999999999999,0.13,1.283e-09,7.169e-10
492.0,0.06999999999999999,0.131,1.278e-09,7.111e-10
494.0,0.06999999999999999,0.132,1.273e-09,7.053e-10
506.0,0.08,0.10800000000000001,1.420e-09,8.781e-10
508.0,0.08,0.10800000000000001,1.414e-09,8.712e-10
510.0,0.08,0.109,1.409e-09,8.644e-10
512.0,0.08,0.11,1.403e-09,8.577e-10
514.0,0.08,0.111,1.398e-09,8.511e-10
516.0,0.08,0.11199999999999999,1.392e-09,8.445e-10
518.0,0.08,0.113,1.387e-09,8.380e-10
520.0,0.08,0.114,1.382e-09,8.316e-10
522.0,0.08,0.115,1.376e-09,8.252e-10
524.0,0.08,0.115,1.371e-09,8.189e-10
526.0,0.08,0.11599999999999999,1.366e-09,8.127e-10
528.0,0.08,0.11699999999999999,1.361e-09,8.066e-10
530.0,0.08,0.11800000000000001,1.356e-09,8.005e-10
532.0,0.08,0.11900000000000001,1.351e-09,7.945e-10
534.0,0.08,0.12,1.346e-09,7.886e-10
536.0,0.08,0.121,1.340e-09,7.827e-10
538.0,0.08,0.122,1.336e-09,7.770e-10
540.0,0.08,0.122,1.331e-09,7.712e-10
542.0,0.08,0.12300000000000001,1.326e-09,7.655e-10
544.0,0.08,0.124,1.321e-09,7.599e-10
546.0,0.08,0.125,1.316e-09,7.544e-10
548.0,0.08,0.126,1.311e-09,7.489e-10
550.0,0.08,0.127,1.306e-09,7.435e-10
552.0,0.08,0.128,1.302e-09,7.381e-10
554.0,0.08,0.129,1.297e-09,7.328e-10
556.0,0.08,0.13,1.292e-09,7.275e-10
558.0,0.08,0.131,1.288e-09,7.223e-10
560.0,0.08,0.132,1.283e-09,7.172e-10
568.0,0.09,0.10800000000000001,1.423e-09,8.824e-10
570.0,0.09,0.109,1.418e-09,8.762e-10
572.0,0.09,0.11,1.413e-09,8.701e-10
574.0,0.09,0.11,1.408e-09,8.640e-10
576.0,0.09,0.111,1.403e-09,8.581e-10
578.0,0.09,0.11199999999999999,1.398e-09,8.521e-10
580.0,0.09,0.113,1.394e-09,8.463e-10
582.0,0.09,0.114,1.389e-09,8.405e-10
584.0,0.09,0.114,1.384e-09,8.348e-10
586.0,0.09,0.115,1.379e-09,8.291e-10
588.0,0.09,0.11599999999999999,1.375e-09,8.234e-10
590.0,0.09,0.11699999999999999,1.370e-09,8.179e-10
592.0,0.09,0.11699999999999999,1.365e-09,8.124e-10
594.0,0.09,0.11800000000000001,1.361e-09,8.069e-10
596.0,0.09,0.11900000000000001,1.356e-09,8.015e-10
598.0,0.09,0.12,1.352e-09,7.962e-10
600.0,0.09,0.121,1.347e-09,7.909e-10
602.0,0.09,0.121,1.343e-09,7.857e-10
604.0,0.09,0.122,1.338e-09,7.805e-10
606.0,0.09,0.12300000000000001,1.334e-09,7.753e-10
608.0,0.09,0.124,1.329e-09,7.702e-10
610.0,0.09,0.125,1.325e-09,7.652e-10
612.0,0.09,0.125,1.321e-09,7.602e-10
614.0,0.09,0.126,1.316e-09,7.553e-10
616.0,0.09,0.127,1.312e-09,7.504e-10
618.0,0.09,0.128,1.308e-09,7.456e-10
620.0,0.09,0.129,1.304e-09,7.408e-10
622.0,0.09,0.129,1.300e-09,7.360e-10
624.0,0.09,0.13,1.295e-09,7.313e-10
626.0,0.09,0.131,1.291e-09,7.267e-10
628.0,0.09,0.132,1.287e-09,7.220e-10
630.0,0.1,0.109,1.426e-09,8.858e-10
632.0,0.1,0.109,1.421e-09,8.802e-10
634.0,0.1,0.11,1.417e-09,8.746e-10
636.0,0.1,0.111,1.412e-09,8.692e-10
638.0,0.1,0.111,1.408e-09,8.637e-10
640.0,0.1,0.11199999999999999,1.403e-09,8.583e-10
642.0,0.1,0.113,1.399e-09,8.530e-10
644.0,0.1,0.113,1.395e-09,8.477e-10
646.0,0.1,0.114,1.390e-09,8.425e-10
648.0,0.1,0.115,1.386e-09,8.373e-10
650.0,0.1,0.115,1.382e-09,8.322e-10
652.0,0.1,0.11599999999999999,1.377e-09,8.271e-10
654.0,0.1,0.11699999999999999,1.373e-09,8.220e-10
656.0,0.1,0.11699999999999999,1.369e-09,8.170e-10
658.0,0.1,0.11800000000000001,1.365e-09,8.121e-10
660.0,0.1,0.11900000000000001,1.361e-09,8.072e-10
662.0,0.1,0.12,1.357e-09,8.023e-10
664.0,0.1,0.12,1.353e-09,7.975e-10
666.0,0.1,0.121,1.349e-09,7.927e-10
668.0,0.1,0.122,1.345e-09,7.880e-10
670.0,0.1,0.122,1.340e-09,7.833e-10
672.0,0.1,0.12300000000000001,1.337e-09,7.786e-10
674.0,0.1,0.124,1.333e-09,7.740e-10
676.0,0.1,0.125,1.329e-09,7.695e-10
678.0,0.1,0.125,1.325e-09,7.649e-10
680.0,0.1,0.126,1.321e-09,7.605e-10
682.0,0.1,0.127,1.317e-09,7.560e-10
684.0,0.1,0.127,1.313e-09,7.516e-10
